path,is_shot
shot_000_frame000.txt,1
shot_000_frame001.txt,0
shot_000_frame002.txt,0
shot_000_frame003.txt,0
shot_000_frame004.txt,0
shot_000_frame005.txt,0
shot_000_frame006.txt,0
shot_000_frame007.txt,0
shot_000_frame008.txt,0
shot_000_frame009.txt,0
shot_000_frame010.txt,0
shot_000_frame011.txt,0
shot_000_frame012.txt,0
shot_000_frame013.txt,0
shot_000_frame014.txt,0
shot_000_frame015.txt,1
shot_000_frame016.txt,1
shot_000_frame017.txt,1
shot_000_frame018.txt,1
shot_000_frame019.txt,0
shot_000_frame020.txt,0
shot_000_frame021.txt,0
shot_000_frame022.txt,0
shot_000_frame023.txt,0
shot_000_frame024.txt,0
shot_000_frame025.txt,0
shot_000_frame026.txt,0
shot_001_frame000.txt,0
shot_001_frame001.txt,0
shot_001_frame002.txt,0
shot_001_frame003.txt,0
shot_001_frame004.txt,0
shot_001_frame005.txt,0
shot_001_frame006.txt,0
shot_001_frame007.txt,0
shot_001_frame008.txt,0
shot_001_frame009.txt,0
shot_001_frame010.txt,0
shot_001_frame011.txt,0
shot_001_frame012.txt,0
shot_001_frame013.txt,0
shot_001_frame014.txt,0
shot_001_frame015.txt,0
shot_001_frame016.txt,0
shot_001_frame017.txt,0
shot_001_frame018.txt,0
shot_001_frame019.txt,0
shot_001_frame020.txt,0
shot_001_frame021.txt,0
shot_001_frame022.txt,0
shot_001_frame023.txt,1
shot_001_frame024.txt,1
shot_001_frame025.txt,0
shot_001_frame026.txt,0
shot_002_frame000.txt,0
shot_002_frame001.txt,0
shot_002_frame002.txt,0
shot_002_frame003.txt,0
shot_002_frame004.txt,0
shot_002_frame005.txt,0
shot_002_frame006.txt,0
shot_002_frame007.txt,0
shot_002_frame008.txt,0
shot_002_frame009.txt,0
shot_002_frame010.txt,0
shot_002_frame011.txt,0
shot_002_frame012.txt,0
shot_002_frame013.txt,0
shot_002_frame014.txt,0
shot_002_frame015.txt,0
shot_002_frame016.txt,0
shot_002_frame017.txt,0
shot_002_frame018.txt,0
shot_002_frame019.txt,0
shot_002_frame020.txt,0
shot_002_frame021.txt,0
shot_002_frame022.txt,1
shot_002_frame023.txt,1
shot_002_frame024.txt,1
shot_002_frame025.txt,1
shot_002_frame026.txt,0
shot_003_frame000.txt,0
shot_003_frame001.txt,0
shot_003_frame002.txt,0
shot_003_frame003.txt,0
shot_003_frame004.txt,0
shot_003_frame005.txt,0
shot_003_frame006.txt,0
shot_003_frame007.txt,0
shot_003_frame008.txt,0
shot_003_frame009.txt,0
shot_003_frame010.txt,0
shot_003_frame011.txt,0
shot_003_frame012.txt,0
shot_003_frame013.txt,0
shot_003_frame014.txt,0
shot_003_frame015.txt,0
shot_003_frame016.txt,0
shot_003_frame017.txt,0
shot_003_frame018.txt,0
shot_003_frame019.txt,0
shot_003_frame020.txt,0
shot_003_frame021.txt,1
shot_003_frame022.txt,1
shot_003_frame023.txt,1
shot_003_frame024.txt,0
shot_003_frame025.txt,0
shot_003_frame026.txt,0
shot_004_frame000.txt,0
shot_004_frame001.txt,0
shot_004_frame002.txt,0
shot_004_frame003.txt,0
shot_004_frame004.txt,0
shot_004_frame005.txt,0
shot_004_frame006.txt,0
shot_004_frame007.txt,0
shot_004_frame008.txt,0
shot_004_frame009.txt,0
shot_004_frame010.txt,0
shot_004_frame011.txt,0
shot_004_frame012.txt,0
shot_004_frame013.txt,0
shot_004_frame014.txt,0
shot_004_frame015.txt,0
shot_004_frame016.txt,0
shot_004_frame017.txt,0
shot_004_frame018.txt,0
shot_004_frame019.txt,0
shot_004_frame020.txt,0
shot_004_frame021.txt,0
shot_004_frame022.txt,1
shot_004_frame023.txt,1
shot_004_frame024.txt,0
shot_004_frame025.txt,0
shot_004_frame026.txt,0
shot_005_frame000.txt,0
shot_005_frame001.txt,0
shot_005_frame002.txt,0
shot_005_frame003.txt,0
shot_005_frame004.txt,0
shot_005_frame005.txt,0
shot_005_frame006.txt,0
shot_005_frame007.txt,0
shot_005_frame008.txt,0
shot_005_frame009.txt,0
shot_005_frame010.txt,0
shot_005_frame011.txt,0
shot_005_frame012.txt,0
shot_005_frame013.txt,0
shot_005_frame014.txt,0
shot_005_frame015.txt,0
shot_005_frame016.txt,1
shot_005_frame017.txt,1
shot_005_frame018.txt,1
shot_005_frame019.txt,0
